"android.permission.CALL_PHONE","com.majeur.launcher.permission.UPDATE_BADGE","android.permission.AUTHENTICATE_ACCOUNTS","android.permission.DOWNLOAD_WITHOUT_NOTIFICATION","com.google.android.c2dm.permission.RECEIVE","com.htc.launcher.permission.READ_SETTINGS","android.permission.ACCESS_COARSE_LOCATION","android.permission.RECEIVE_SMS","android.permission.PROCESS_INCOMING_CALLS","com.sec.android.provider.badge.permission.WRITE","android.permission.RECEIVE_BOOT_COMPLETED","me.everything.badger.permission.BADGE_COUNT_READ","android.permission.READ_PROFILE","android.permission.WRITE_EXTERNAL_STORAGE","android.permission.ACCESS_FINE_LOCATION"
0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
0,0,0,0,0,1,1,0,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1,0,1,1,1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1,1,0,0,1,1,1,0,0,1,1,0,0,1,1
0,0,0,0,0,0,1,1,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1,1,0,0,1,1,1,0,0,1,0,1,0,1,1
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1,0,0,1,1
0,0,0,0,0,0,1,1,0,0,1,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,1,0,0,0,1,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
