"com.android.launcher.permission.READ_SETTINGS","com.sonymobile.home.permission.PROVIDER_INSERT_BADGE","android.permission.READ_LOGS","android.permission.ACCESS_WIFI_STATE","android.permission.ACCESS_LOCATION_EXTRA_COMMANDS","com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","com.huawei.android.launcher.permission.WRITE_SETTINGS","android.permission.READ_CONTACTS","android.permission.RESTART_PACKAGES","com.sonyericsson.home.permission.BROADCAST_BADGE","android.permission.ACCESS_FINE_LOCATION","android.permission.FOREGROUND_SERVICE","android.permission.CHANGE_WIFI_STATE","com.anddoes.launcher.permission.UPDATE_COUNT","com.amazon.device.messaging.permission.RECEIVE","android.permission.RECEIVE_SMS","android.permission.WRITE_SETTINGS","android.permission.WRITE_CALENDAR","com.google.android.c2dm.permission.RECEIVE","android.permission.GET_ACCOUNTS"
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
