id,joules,rows,features,exp
1,-2.427177,10000r,10f,10000r10f
2,-1.557492,10000r,10f,10000r10f
3,-2.565176,10000r,10f,10000r10f
4,-4.459704,10000r,15f,10000r15f
5,-6.191695,10000r,15f,10000r15f
6,-3.359247,10000r,15f,10000r15f
7,-3.131215,10000r,20f,10000r20f
8,-3.093315,10000r,20f,10000r20f
9,-3.323903,10000r,20f,10000r20f
10,-0.010252,1000r,10f,1000r10f
11,0.334106,1000r,10f,1000r10f
12,-0.132141,1000r,10f,1000r10f
13,0.075746,1000r,15f,1000r15f
14,-0.162291,1000r,15f,1000r15f
15,-0.022279,1000r,15f,1000r15f
16,-0.160219,1000r,20f,1000r20f
17,0.064698,1000r,20f,1000r20f
18,0.014527,1000r,20f,1000r20f
19,-0.748959,5000r,10f,5000r10f
20,-0.113527,5000r,10f,5000r10f
21,-0.641477,5000r,10f,5000r10f
22,-1.52789,5000r,15f,5000r15f
23,-1.10516,5000r,15f,5000r15f
24,-1.124263,5000r,15f,5000r15f
25,-1.491024,5000r,20f,5000r20f
26,-2.615839,5000r,20f,5000r20f
27,-1.834773,5000r,20f,5000r20f
28,-1.809201,10000r,10f,10000r10f
29,-2.562614,10000r,10f,10000r10f
30,-1.877802,10000r,10f,10000r10f
31,-3.918083,10000r,15f,10000r15f
32,-3.876335,10000r,15f,10000r15f
33,-3.050651,10000r,15f,10000r15f
34,-2.790888,10000r,20f,10000r20f
35,-4.069755,10000r,20f,10000r20f
36,-3.148489,10000r,20f,10000r20f
37,-0.254272,1000r,10f,1000r10f
38,0.2182,1000r,10f,1000r10f
39,-0.594117,1000r,10f,1000r10f
40,0.145205,1000r,15f,1000r15f
41,-0.303709,1000r,15f,1000r15f
42,-0.431213,1000r,15f,1000r15f
43,10.217927,1000r,20f,1000r20f
44,-0.448911,1000r,20f,1000r20f
45,-0.536741,1000r,20f,1000r20f
46,-0.247437,5000r,10f,5000r10f
47,-0.234984,5000r,10f,5000r10f
48,0.164243,5000r,10f,5000r10f
49,-0.929501,5000r,15f,5000r15f
50,-1.429075,5000r,15f,5000r15f
51,-1.480588,5000r,15f,5000r15f
52,-1.869686,5000r,20f,5000r20f
53,-2.082333,5000r,20f,5000r20f
54,-2.048943,5000r,20f,5000r20f
