id,joules,dataset,rows,features,exp
1,1908.571409,anon,10000r,10f,anon10000r10f
2,1691.1176799999998,anon,10000r,10f,anon10000r10f
3,1568.470229,anon,10000r,10f,anon10000r10f
4,2167.818487,anon,10000r,15f,anon10000r15f
5,1216.984678,anon,10000r,15f,anon10000r15f
6,2308.7158919999997,anon,10000r,15f,anon10000r15f
7,1433.38482,anon,10000r,20f,anon10000r20f
8,1964.0760879999998,anon,10000r,20f,anon10000r20f
9,969.013509,anon,10000r,20f,anon10000r20f
10,270.543192,anon,1000r,10f,anon1000r10f
11,265.710562,anon,1000r,10f,anon1000r10f
12,483.699936,anon,1000r,10f,anon1000r10f
13,293.02860699999997,anon,1000r,15f,anon1000r15f
14,615.600901,anon,1000r,15f,anon1000r15f
15,598.880059,anon,1000r,15f,anon1000r15f
16,738.560609,anon,1000r,20f,anon1000r20f
17,1176.487527,anon,1000r,20f,anon1000r20f
18,207.515827,anon,1000r,20f,anon1000r20f
19,1123.3218319999999,anon,5000r,10f,anon5000r10f
20,1090.645525,anon,5000r,10f,anon5000r10f
21,853.586133,anon,5000r,10f,anon5000r10f
22,741.201591,anon,5000r,15f,anon5000r15f
23,891.90647,anon,5000r,15f,anon5000r15f
24,1430.5855119999999,anon,5000r,15f,anon5000r15f
25,805.160718,anon,5000r,20f,anon5000r20f
26,1357.1831109999998,anon,5000r,20f,anon5000r20f
27,576.696949,anon,5000r,20f,anon5000r20f
28,1268.681505,anon,10000r,10f,anon10000r10f
29,1634.751431,anon,10000r,10f,anon10000r10f
30,1475.864325,anon,10000r,10f,anon10000r10f
31,2219.9593449999998,anon,10000r,15f,anon10000r15f
32,2015.34628,anon,10000r,15f,anon10000r15f
33,974.375741,anon,10000r,15f,anon10000r15f
34,1461.841168,anon,10000r,20f,anon10000r20f
35,2477.944157,anon,10000r,20f,anon10000r20f
36,951.3300839999999,anon,10000r,20f,anon10000r20f
37,260.19458399999996,anon,1000r,10f,anon1000r10f
38,279.640764,anon,1000r,10f,anon1000r10f
39,521.408516,anon,1000r,10f,anon1000r10f
40,294.962929,anon,1000r,15f,anon1000r15f
41,556.614115,anon,1000r,15f,anon1000r15f
42,593.864019,anon,1000r,15f,anon1000r15f
43,656.666655,anon,1000r,20f,anon1000r20f
44,1069.204477,anon,1000r,20f,anon1000r20f
45,200.02262,anon,1000r,20f,anon1000r20f
46,1032.227339,anon,5000r,10f,anon5000r10f
47,851.916336,anon,5000r,10f,anon5000r10f
48,650.5470399999999,anon,5000r,10f,anon5000r10f
49,726.348298,anon,5000r,15f,anon5000r15f
50,758.505322,anon,5000r,15f,anon5000r15f
51,1303.391011,anon,5000r,15f,anon5000r15f
52,772.6031869999999,anon,5000r,20f,anon5000r20f
53,1168.927,anon,5000r,20f,anon5000r20f
54,528.827687,anon,5000r,20f,anon5000r20f
55,2760.6701169999997,orig,10000r,10f,orig10000r10f
56,2087.458279,orig,10000r,10f,orig10000r10f
57,2046.015453,orig,10000r,10f,orig10000r10f
58,1718.714106,orig,10000r,15f,orig10000r15f
59,1662.167557,orig,10000r,15f,orig10000r15f
60,2707.063869,orig,10000r,15f,orig10000r15f
61,1751.355685,orig,10000r,20f,orig10000r20f
62,2738.556039,orig,10000r,20f,orig10000r20f
63,1207.8692839999999,orig,10000r,20f,orig10000r20f
64,304.050429,orig,1000r,10f,orig1000r10f
65,326.07375099999996,orig,1000r,10f,orig1000r10f
66,573.219174,orig,1000r,10f,orig1000r10f
67,324.527612,orig,1000r,15f,orig1000r15f
68,674.5238479999999,orig,1000r,15f,orig1000r15f
69,608.475066,orig,1000r,15f,orig1000r15f
70,696.405746,orig,1000r,20f,orig1000r20f
71,615.09352,orig,1000r,20f,orig1000r20f
72,230.661824,orig,1000r,20f,orig1000r20f
73,816.478441,orig,5000r,10f,orig5000r10f
74,1807.564526,orig,5000r,10f,orig5000r10f
75,1442.07126,orig,5000r,10f,orig5000r10f
76,854.0924809999999,orig,5000r,15f,orig5000r15f
77,1657.622038,orig,5000r,15f,orig5000r15f
78,1433.7716599999999,orig,5000r,15f,orig5000r15f
79,1716.0088529999998,orig,5000r,20f,orig5000r20f
80,1570.156137,orig,5000r,20f,orig5000r20f
81,627.459942,orig,5000r,20f,orig5000r20f
82,2652.560837,orig,10000r,10f,orig10000r10f
83,1688.495309,orig,10000r,10f,orig10000r10f
84,2044.4494789999999,orig,10000r,10f,orig10000r10f
85,1653.018535,orig,10000r,15f,orig10000r15f
86,1681.7534469999998,orig,10000r,15f,orig10000r15f
87,2975.734384,orig,10000r,15f,orig10000r15f
88,1782.2818129999998,orig,10000r,20f,orig10000r20f
89,2726.0461809999997,orig,10000r,20f,orig10000r20f
90,1138.09511,orig,10000r,20f,orig10000r20f
91,384.979971,orig,1000r,10f,orig1000r10f
92,304.898816,orig,1000r,10f,orig1000r10f
93,608.966948,orig,1000r,10f,orig1000r10f
94,319.09445999999997,orig,1000r,15f,orig1000r15f
95,653.425513,orig,1000r,15f,orig1000r15f
